	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
4045	1997.0	21/04/1997	Josep Pijoan i Soteras (Barcelona, 1879 - Lausana, 1963). Historiador, poeta, assagista i tractadista d'art. Fou un dels impulsors de la revaloració i la recuperació de la pintura romànica. Intervingué en la restauració i el trasllat d'obres romàniques disperses al Museu d'Art de Catalunya. Visqué en diferents països d'Amèrica i d'Europa, i organitzà, a Roma, l'Escola Espanyola per a Estudis Arqueològics i Històrics. Publicà: Historia del Arte (1914), Historia del Mundo (1926 - 1941) i Summa artis (1931, amb altres autors). La seva producció poètica entusiasmà Joan Maragall, a qui dedicà l'obra El meu amic Don Joan Maragall (1927). També dedicà un llibre a Giner de los Ríos: Mi Don Francisco Giner (1927).	Jard Casa Bloc	Jardins de Casa Bloc	Josep	M
4046	1997.0	04/04/1997	Anna Frank (Frankfurt, 1929 - camp de concentració de Bergen-Belsen, 1945). Membre d'una família jueva alemanya que emigrà a Holanda l'any 1933. Entre els anys 1942 i 1944, va escriure un diari en què relatava les seves experiències i les dels seus familiars per amagar-se dels nazis. Aquest diari, testimoni ingenu i trasbalsador d'una època de terror, va ser adaptat a l'escena per Frances Goodrich i Albert Hackett, i va tenir un gran èxit mundial.	Pl Miguel Unamuno	Plaça de Miguel de Unamuno	Anna	F
4048	1997.0	21/03/1997	Montserrat Roig i Fransitorra (Barcelona, 1946 - 1991). Escriptora. Llicenciada en filosofia i lletres. Obtingué el premi Víctor Català amb Molta roba i poc sabó (1971), en què descriu la generació universitària nascuda a la postguerra, tema que amplià a Ramona, adéu (1972). Fou premi Sant Jordi l'any 1976 amb El temps de les cireres i premi de la Crítica Serra d'Or pel reportatge Els catalans als camps nazis (1977). Els seus darrers llibres són el recull de contes El cant de la joventut (1989), i els d'assaig Digues que m'estimes encara que sigui mentida (1991) i L'autèntica història de Catalunya (1991, amb Cesc). El 1990 estrenà Reivindicació de la senyora Clito Mestres.	Pl Fonts	Plaça de les Fonts	Montserrat	F
4049	1997.0	10/06/1997	Josep Amat i Pagès (Barcelona, 1901 - 1991). Pintor i dibuixant. Membre d'una família d'artistes i deixeble de Joaquim Sunyer. Féu excursions artístiques a l'Alta Catalunya amb Joaquim Mir. Cultivà un estil impressionista i el seu catàleg, el formen paisatges i vistes urbanes amb un marcat interès pels efectes atmosfèrics, que són els veritables protagonistes de la seva pintura i els elements que demostren la influència rebuda de Mir i Dufy. Les seves obres s'exhibeixen al Museu Nacional d'Art de Catalunya, al Reina Sofia, al Museu de Belles Arts de Bilbao i a Sant Feliu de Guíxols. Fou professor de l'Escola de Belles Arts de Sant Jordi.	Jard Bosquet Encan	Jardins del Bosquet dels Encants	Josep	M
4050	1997.0	24/07/1997	Jean-Henry Dunant (Ginebra, 1828 - Zürich, 1910). Filantrop i literat. Creador de la Creu Roja Internacional. Juntament amb quatre compatriotes, elaborà i féu acceptar als governs la primera Convenció de Ginebra (1864) sobre els ferits de guerra. El 1867 fou acusat de gestió fraudulenta en els seus negocis, la qual cosa li provocà l'expulsió del Comitè Internacional de Ginebra. Oblidat i vivint en la misèria, finalment la seva figura va ser rehabilitada: rebé un premi del Consell Federal, l'emperadriu Fedorovna li atorgà una pensió i l'Acadèmia Sueca li atorgà el primer premi Nobel de la pau (1901).	Pl Constel·lacions	Plaça de les Constel·lacions	Jean-Henry	i
4051	1997.0	25/09/1997	Manuel Blancafort de Rosselló (la Garriga, 1897 - Barcelona, 1987). Compositor. Deixeble de Joan Lamote de Grignon. Rebé influències de l'impressionisme francès. Es va donar a conèixer mundialment amb l'estrena a París de Parc d'atraccions. Evolucionà després vers una sòlida profunditat clàssica. Va compondre obres simfòniques, concerts per a piano i quartets. Algunes de les seves obres són: Sonata antiga (1929), Concerto omaggio (1944), Concert ibèric (1946), Quartet de Pedralbes (1949), Simfonia en mi major (1950), Rapsòdia catalana (1953), Evocacions (1969) i Cantata a la Verge Maria (1965), premiada per l'Orfeó Català.	Greenwich	Carrer de Greenwich	Manuel	M
4052	1997.0	25/09/1997	Petra Karin Kelly (Baviera, 1947 - Bonn, 1992). Líder ecologista que fundà, l'any 1979, el Partit Verd alemany, capdavanter en la política ecologista i pacifista contra l'escalada nuclear. Juntament amb Gert Bastian, la seva parella ideològica i sentimental, van ser els primers diputats ecologistes al Bundestag des del 1983 fins al 1990. Van organitzar manifestacions no violentes contra la cursa d'armaments i la violació dels drets humans arreu del món. El final de la guerra freda, la unificació alemanya, a la qual s'oposaven els verds, la recuperació del discurs verd per part de les institucions i les divisions del seu partit van provocar una crisi, així com la marginació de Petra Kelly. Se suïcidà, juntament amb Gert Bastian, al mes d'octubre de 1992.	Pl Monterrey	Plaça de Monterrey	Petra	F
4053	1997.0	10/12/1997	Duoda (segle IX). Escriptora i comtessa de Barcelona. Entre els anys 841 i 843, mentre estava confinada a Usès (Septimània), va escriure Liber manualis (Biblioteca de Catalunya), un manual dedicat al seu fill Guillem, reclamat pel seu marit, Bernat de Septimània, quan tenia setze anys. Es tracta d'un manual adreçat a un adolescent per guiar-lo en la seva formació. El més destacable és que està escrit per una dona i, a més, laica, ja que els escriptors eclesiàstics monopolitzaven la cultura escrita en aquell moment.	Pl Óssa Menor	Plaça de l'Óssa Menor	Duoda	i
4054	1997.0	05/11/1997	Victòria Kent i Siano (Màlaga, 1898 - Nova York, 1987). Política i jurista. L'any 1924 començà a exercir d'advocada i el 1930 defensà els membres del Comitè Revolucionari jutjats pels fets de Jaca. Fou diputada a les Corts els anys 1931 i 1936, i ocupà el càrrec de directora general de Presons i de l'Institut d'Estudis Penals. En acabar la Guerra Civil, s'exilià a França, on visqué l'ocupació nazi. Va reflectir aquesta experiència en el llibre Cuatro años en París (1947). Després, s'establí a Mèxic (1945 - 1950), on s'encarregà d'organitzar una escola per a la capacitació de les preses; més tard, treballà a l'ONU (1950 - 1952). Dirigí la revista Ibérica. L'any 1977 tornà de l'exili.	Solsticis	Carrer dels Solsticis	Victòria	F
4055	1997.0	05/11/1997	Joaquín Maurín i Julià (Bonansa, 1896 - Nova York, 1973). Escriptor i polític. Fou militant de la CNT i delegat al congrés de la Internacional Sindical Roja a Moscou (ISR). S'enfrontà als anarquistes en defensa de la permanència de la CNT dins la ISR. Era membre del Comitè Central del PCE, però mantingué fortes divergències amb el partit, al marge del qual creà el Bloc Obrer i Camperol. Va ser expulsat del PCE el 1931. Fou el principal teòric i impulsor de l'Aliança Obrera a Catalunya. L'any 1935 fou elegit secretari general del POUM i el 1936, diputat a Corts. És autor de La Revolución española (1932) i Hacia la Segunda Revolución (1935).	Pl Pere Coromines	Plaça de Pere Coromines	Joaquín	M
4056	1997.0	05/11/1997	Mercè Plantada i Vicente (Barcelona, 1892 - Vilafranca del Penedès, 1976). Soprano. Debutà amb l'Associació de la Música de Cambra de Barcelona al Palau de la Música. S'especialitzà en lied i participà en concerts simfònics vocals. Estrenà a Barcelona El amor brujo, de Falla, sota la direcció del mateix compositor. L'acompanyaren al piano Igor Stravinsky, Richard Strauss, Nin, Manen, Frederic Mompou, Turina, Pau Casals, entre d'altres. Fou professora de cant al Conservatori del Liceu. El 1967 obtingué la Medalla al Mèrit Artístic de l'Ajuntament de Barcelona.	Jard Port Romà	Jardins del Port Romà	Mercè	F
4057	1997.0	01/12/1997	Maria-Antònia Salvà i Ripoll (Palma de Mallorca, 1869 - Llucmajor, 1958). Poeta i traductora. Entre les seves amistats destacaren la de Miquel Ferrà i Josep Carner, que esdevingueren els seus mentors literaris. El 1903 fou premiada al Certamen Literari de les Fires i Festes de Mallorca pel seu poema Joc de nins. La seva obra poètica s'aplegà en els volums Poesies (1910), Espigues en flor (1926), El retorn (1934), entre d'altres. Va col·laborar en les revistes Catalunya i Feminal. Traduí obres de Frederic Mistral, Francis Jammes, Manzoni i Petrarca.	Jard Ca l'Alena	Jardins de Ca l'Alena	Maria-Antònia	i
4058	1997.0	01/12/1997	Elies Ortiz Garrido (Barcelona, 1920 - 1991). Líder veïnal. Va endegar nombrosos projectes al barri de Can Tunis amb l'objectiu de promoure l'associacionisme, raó per la qual va crear el Centre Social de Can Tunis i la Germandat d'Estalvis de Can Tunis, i va presidir la Cooperativa d'Habitatges de Can Tunis i l'Associació de Veïns de la Font de la Guatlla.	Jard Can Sentmenat	Jardins de Can Sentmenat	Elies	M
4059	1997.0	01/12/1997	Maria Vila i Panadès (Barcelona, 1897 - 1963). Actriu. Començà a actuar de jove i ben aviat treballà com a primera actriu, en especial, a la companyia d'Enric Borràs, que actuava al Teatre Novetats. Juntament amb el seu marit, l'actor Pius Daví, creà una companyia el 1920. Actuaren preferentment al Teatre Romea i s'especialitzaren en teatre català. Després de la Guerra Civil, contribuïren a la recuperació de les activitats escèniques. Josep M. de Sagarra escriví per a ella L'hostal de la Glòria (1931).	Jard La Tamarita	Jardins de La Tamarita	Maria	F
4060	1997.0	01/12/1997	Nicolás Salmerón y Alonso (Alhama la Seca, 1830 - Pau, 1908). Polític republicà. Membre dirigent del Partit Democràtic. Diputat i un dels defensors de la Primera Internacional a les Corts; ministre de Gràcia i Justícia en el Govern republicà de Figueres (1873); president del Congrés i, més tard, president del Govern executiu, càrrec del qual dimití en negar-se a firmar algunes penes de mort. En proclamar-se la Restauració, hagué d'exiliar-se a París. Tornà a Madrid l'any 1884, fou elegit diputat i recuperà la càtedra de filosofia. Fundà el Partit Republicà Centralista, de tendència antifederal. Gràcies a la seva política d'unió republicana, aconseguí repetir el triomf electoral de la seva candidatura a Gràcia. Fou un dels principals promotors de la creació, el 1906, de Solidaritat Catalana.	Pl Mn Ferran Palau	Plaça de Mossèn Ferran Palau	Nicolás	M
4061	1997.0	01/12/1997	Miquel Vall i Mundó (Barcelona, 1925 - 1988). Sacerdot. Fou ordenat prevere a la parròquia de Sant Vicenç de Sarrià el 12 de març de 1949. Durant vint-i-set anys (1961 - 1988), fou rector de la parròquia de Santa Maria Reina i fundà la capella de Maria Reina al barri de Can Caralleu.	Pl Josep Obiols	Plaça de Josep Obiols	Miquel	M
4063	1997.0	10/12/1997	Jean Genet (París, 1910 - 1986). Escriptor que tractà els problemes d'identitat, la marginació i els prejudicis polítics, socials i religiosos. L'abandonaren als deu anys i passà part de la seva joventut en reformatoris i correccionals i, més tard, a la presó. Es prostituí i robà. Aquestes experiències van marcar la seva producció: les narracions autobiogràfiques, com ara Santa Maria de les Flors (1944) i Diari del lladre (1949); les obres de teatre, per exemple Les Criades (1947), gràcies a la qual esdevingué un dels dramaturgs més importants del teatre d'avantguarda, i les novel·les, com Querelle de Brest.	Pl Arts	Plaça de les Arts	Jean	M
4064	1998.0	16/02/1998	Agrupació Vidriera (1932-1992). Entitat cooperativa santsenca que es constituí a Barcelona amb seu social i fàbrica al carrer de Gayarre, núm. 59-77, amb la finalitat de millorar la condició social i econòmica dels seus associats i obtenir el millor rendiment del treball en comú sense afany de lucre. Per aconseguir aquesta finalitat la cooperativa es dedicà a la fabricació de les manufactures pròpies de la indústria del vidre.	Jard Marià Manent	Jardins de Marià Manent	Agrupació	i
4066	1998.0	16/02/1998	Pere Figuera i Serra (?, 1929 - Llemotges, 1970). Patriota català. Josep M. Ainaud de Lasarte el va posar en contacte amb el Grup Torras i Bages, la FNEC i el Front Universitari de Catalunya. Fou un dels impulsors de la revista clandestina Ictini i de les primeres antologies poètiques universitàries. Era conscient de la importància de la llengua catalana i fou un lluitador incansable en qualsevol front on fos necessària la seva col·laboració.	Pg Ítaca	Passeig d'Ítaca	Pere	M
4068	1998.0	11/05/1998	María de la Caridad del Cobre Montserrat Garriga Cabrero (Cienfuegos, 1865 - Barcelona, 1956). Es va dedicar a la botànica i fou col·laboradora del doctor Pius Font i Quer. Herboritzava plantes que, rigorosament preparades, van engrandir la Secció Botànica del Museu de Ciències Naturals de Barcelona. Va fer classes de botànica a l'Institut de Cultura i Biblioteca Popular de la Dona. Donà el seu herbari a l'Institut Botànic de Barcelona el 1954.	Rbla Mar	Rambla de Mar	María	F
4069	1998.0	12/05/1998	Javier Patricio Pérez Álvarez (Buenos Aires, 1951 - Barcelona, 1990). Compositor i cantant conegut amb el nom de Gato Pérez. Tenia interès pel rock i la música pampeana. De 1971 a 1977 formà diferents grups de country-rock, pop-rock i jazz-rock. El 1977 va conèixer la rumba gitana i es dedicà a la rumba-rock, rumba-plena, apalanque i va inventar la rumba existencial. Algunes de les seves cançons més conegudes són: El Ventilador, Rumba dels 60's, Gitanos i Morenos, Barca, Cielo i Ola.	Camí T Sansalvador	Camí de la Torre de Sansalvador	Javier	M
4070	1998.0	19/05/1998	Madrona Prat i Palmer (Barcelona, 1903 - 1987). Després de la Guerra Civil es produí una arribada massiva d'immigrants; en aquell moment, el nom de Madrona es va fer famós per l'estima que tenia vers les persones que ho havien de deixar tot per venir a Barcelona a buscar feina.	Ptge Dardanels	Passatge dels Dardanels	Madrona	i
4073	1998.0	21/07/1998	Jaume Sabartés i Gual (Barcelona, 1881 - París, 1968). Escultor i escriptor. El 1935 s'instal·là a París i fou secretari particular de Picasso. Publicà a Madrid Picasso en su obra (1935); a Milà, Picasso (1937), i a París, la biografia Picasso, portraits et souvenirs (1946). Fou un eficaç enllaç entre Picasso i Catalunya que, el 27 de juliol de 1960, va donar lloc a l'acord municipal de crear el Museu Picasso. Després de vint-i-cinc anys al servei de Picasso, posseïa una important col·lecció d'obres de l'artista que donà a la ciutat de Barcelona.	Avançada	Carrer de l'Avançada	Jaume	M
4075	1998.0	19/11/1998	Hilari Salvadó i Castell (Barcelona, 1899 - 1966). Polític. Militant d'Esquerra Republicana i regidor de Barcelona. Fou nomenat batlle de Barcelona el 1937 en substitució de Carles Pi i Sunyer. El 1939 s'exilià i tornà anys més tard. Aquest carrer està situat entre els carrers de Sant Carles, de Salamanca i de Santa Lluïsa de Marillac, a la Barceloneta.	Pl Genescà Coromin	Plaça d'Antoni Genescà i Corominas	Hilari	i
4076	1998.0	19/11/1998	Lluís Casassas i Simó (Sabadell, 1922 - Barcelona, 1992). Geògraf.  Fou professor a la Universitat de Barcelona i secretari de la Societat Catalana de Geografia. Va publicar, entre altres treballs, Barcelona i la seva rodalia al llarg del temps (1974); El Barcelonès i Barcelona ciutat (1974); L'organització territorial i administrativa de Barcelona, i Funcions i àmbits de descentralització: els nous districtes, en col·laboració amb J. Clusa i altres (1980).	Ptge J Mirambell B	Passatge de Joan Mirambell i Bertran	Lluís	M
4077	1999.0	20/01/1999	Carles Barral i Agesta (Barcelona, 1928 - 1989). Poeta i editor. Llicenciat en dret. Entre d'altres, va publicar: Metropolitano, Usuras, Catalunya a vol d'ocell i Cuando las horas veloces. Des del 1982 fou senador pel PSC-PSOE per Tarragona. Col·laborà amb Seix i Barral, i amb Barral editors. Jardins interiors de l'illa del front marítim limitada pels carrers de Bac de Roda, passeig del Taulat, carrer de Josep Ferrater i Móra i passeig de Garcia Fària.	Pl La Maquinista	Plaça de La Maquinista	Carles	M
4078	1999.0	20/01/1999	Josep Maria Sostres i Maluquer (la Seu d'Urgell, 1915 - Barcelona, 1984). Arquitecte. La seva obra té una gran importància en la recuperació dels lligams amb els corrents contemporanis. Autor del polèmic edifici d'El Noticiero Universal (1963 - 1965). Cal destacar la seva activitat com a membre cofundador i teòric del Grup R (1952).	Jard M Pedrolo	Jardins de Manuel de Pedrolo	Josep	M
4080	1997.0	20/01/1997	Ramon Calsina i Baró (Barcelona, 1901 - 1992). Pintor, dibuixant i gravador. Format a l'Acadèmia Baixas (1912) i a l'Escola de Llotja (1920). El 1964 li fou concedit el premi internacional de dibuix Ynglada-Guillot. El seu estil, molt personal, és una espècie de realisme màgic precís i estilitzat.	Pl P Mandiargues	Plaça de Pieyre de Mandiargues	Ramon	M
4081	1999.0	20/01/1999	Jaime Gil de Biedma Alba (Barcelona, 1929 - 1990). Poeta. Membre de l'anomenada escola de Barcelona. Va recórrer al col·loquialisme i la ironia per tal de destacar assumptes socials i existencials en la seva obra. Va publicar: Según sentencia del tiempo (1953), Colección particular (1969), Las personas del verbo (1975), entre d'altres.	Robert Robert	Carrer de Robert Robert	Jaime	M
4084	1999.0	20/01/1999	Joan Fuster i Ortells (Sueca, 1922 - 1992). Escriptor. Entre d'altres, publicà: Sobre Narcís (1949); Escrit per al silenci (1954); Joan Serrallonga (1961); Raimon (1964), i Babels i babilònies (1972).	Pl Roquetes	Plaça de les Roquetes	Joan	M
4089	1999.0	15/03/1999	Antoni Puigvert i Gorro (Santa Coloma de Gramenet, 1905 - Barcelona, 1990). Metge uròleg. Director del Servei d'Urologia i de l'Escola d'Especialització Urològica de l'Hospital de Sant Pau. Catedràtic d'urologia de la Universitat Autònoma de Barcelona. Entre altres obres, publicà: Atlas de Urología i Endoscòpia urinària.	Pl Joan Coromines	Plaça de Joan Coromines	Antoni	M
4094	1999.0	22/04/1999	Joaquim Domingo i Sánchez (Barcelona, 1917 - 1981). Jugador de billar. Membre del Club de Billar Sants des de molt jove. Als divuit anys es va proclamar subcampió del món en partida lliure; al llarg de la seva vida guanyà uns cent cinquanta títols en diferents modalitats. Rebé en dues ocasions la Medalla d'Or al Mèrit Esportiu de la ciutat de Barcelona. Va néixer i viure al barri de Sants.	Jard Montse Roig	Jardins de Montserrat Roig	Joaquim	M
4095	1999.0	22/04/1999	Josep Goday i Casals (Mataró, 1881 - Barcelona, 1936). Arquitecte. Fou l'arquitecte en cap de la Comissió de Cultura de l'Ajuntament de Barcelona. Construí els grups escolars municipals Baixeras, Lluís Vives, Pere Vila, entre d'altres. Gràcies a aquestes obres, esdevingué definidor de l'estil arquitectònic del Noucentisme. Publicà, juntament amb el seu mestre, Josep Puig i Cadafalch, i amb Antoni de Falguera, L'arquitectura romànica a Catalunya.	Jard Josep Amat	Jardins de Josep Amat	Josep	M
4098	1999.0	14/04/1999	Joan Balcells i Garcia (Barcelona, 1882 - 1972). Compositor i director. Professor de solfeig de l'Escola Municipal de Música de Barcelona. Dirigí l'Orfeó Gracienc (1903 - 1936). Compongué música per al teatre líric, per a cor i cobla, harmonitzacions de cançons populars i un bon nombre de sardanes.	Jrdi Petra Kelly	Jardí de Petra Kelly	Joan	M
4105	2001.0	14/02/2001	Braç de mar entre les costes occidentals de Cuba i la península de Yucatán (Mèxic). Uneix el golf de Mèxic i la mar Carib. Passatge situat a la Zona d'Activitats Logístiques (ZAL) del Port de Barcelona, indret on els noms dels carrers són dedicats als mars i als oceans del món.	Ptge Maria Vila	Passatge de Maria Vila	Braç	i
4108	1999.0	13/05/1999	Alessandro de Mariano Filipepi (Florència, 1445 - 1510). Pintor conegut amb el nom de Sandro Botticelli. Formà part del grup de pintors que realitzà les composicions murals de la Capella Sixtina. Algunes de les obres més conegudes són: La primavera i El naixement de Venus. Vers el 1490 començà a il·lustrar La Divina Comèdia, de Dante.	Ptge Llobregat	Passatge del Llobregat	Alessandro	M
4110	1999.0	13/05/1999	Isadora Duncan (San Francisco, 1878 - Niça, 1927). Ballarina. Rebé una formació clàssica, però el seu estil s'orientà cap a la dansa lliure. Fundà diverses escoles per educar els nens i les nenes dels més desvalguts. Va deixar diversos escrits, com ara La meva vida, que esdevingué l'argument de la pel·lícula Isadora (1969).	Pl Vidriera	Plaça de la Vidriera	Isadora	i
4115	1999.0	20/05/1999	Josep Andreu i Abelló (Montblanc, 1906 - Madrid, 1993). Advocat i polític. Fou un dels fundadors d'Esquerra Republicana de Catalunya. El 1936 fou president de l'Audiència Territorial de Barcelona i després del Tribunal de Cassació de Catalunya. S'exilià el 1939 a França, Mèxic i Tànger. L'any 1976 va ingressar en el PSC-Congrés. Participà en l'elaboració de l'Estatut de Sau. Fou president de l'Ateneu Barcelonès.	Pl Gato Pérez	Plaça de Gato Pérez	Josep	M
4117	1999.0	20/05/1999	GATCPAC (Grup d'Arquitectes i Tècnics Catalans per al Progrés de l'Arquitectura Contemporània). Associació creada a Barcelona l'any 1930, com a secció catalana del CIRPAC. Publicà la revista AC. El grup participà en la creació del Sindicat d'Arquitectes de Catalunya, del qual Torres i Clavé fou el secretari general.	Camí Turó del Puig	Camí del Turó del Puig	GATCPAC	i
4121	1999.0	20/05/1999	Martin Luther King (Atlanta, 1929 - Memphis, 1968). Pastor protestant influït per Gandhi. Capdavanter nord-americà en la lluita de l'alliberament pacífic dels negres als Estats Units. Fou assassinat després de diversos intents frustrats.	Rda Dalt (Besòs)	Ronda de Dalt (Besòs)	Martin	M
4122	1999.0	20/05/1999	Joan Comorera i Soler (Cervera, 1895 - Burgos 1958). Polític. El 1931 ingressà a la Unió Socialista de Catalunya (USC). El 1934 i el 1936 fou conseller d'Agricultura i d'Economia; el 1937, de Treball, d'Obres Públiques i de Justícia al Govern de la Generalitat. El 1936 fou nomenat secretari general del PSUC. El 1939 s'exilià a França, Moscou i Mèxic. L'abril de 1951 retornà clandestinament amb el nom de Josep Planes i Valls i s'establí a Ripoll. El 1954 fou detingut a Barcelona, jutjat i empresonat al penal de Burgos, on morí.	Rda Dalt(Llobregat	Ronda de Dalt (Llobregat)	Joan	M
4123	1999.0	20/05/1999	Estefania de Requesens i Roís de Liori ( ? - Barcelona, 1549). Baronessa de Castellvell i de Molins de Rei.	Pl Jaume Sabartés	Plaça de Jaume Sabartés	Estefania	F
4124	1999.0	07/05/1999	Clotilde Cerdà i Bosch (Barcelona, 1861 - Santa Cruz de Tenerife, 1926). Concertista d'arpa coneguda amb el pseudònim d'Esmeralda Cervantes. Fou una concertista d'èxit que va recórrer tot el món. Visqué molts anys al Brasil.	Jard Mediterrània	Jardins de la Mediterrània	Clotilde	F
4126	1999.0	20/05/1999	Ferran Turné i Carbonell (Barcelona, 1877 - 1921). Defensor dels humils. Era una persona molt estimada pel poble treballador, com ho fou el poeta i dramaturg Ignasi Iglésias, el seu mestre i amic.	Pl Lluís Casassas	Plaça de Lluís Casassas	Ferran	M
4128	1999.0	13/05/1999	Rosa Luxemburg (Zamosc, 1871 - Berlín, 1919). Líder dels socialistes alemanys i revolucionària. Estudià ciències naturals i economia política a la Universitat de Zürich. Va prendre part en el fracassat aixecament dels espartaquistes ?una fracció revolucionària dins de l'SPD? contra el Govern, al gener de 1919. A causa d'aquest fet fou arrestada i executada per l'exèrcit alemany.	Jard J. M. Sostres	Jardins de Josep M. Sostres	Rosa	F
4130	1999.0	07/05/1999	Manuel Jiménez Arnalot (Barcelona, 1927 - 1993). Dibuixant, cartellista i pintor abstracte. Treballà la tècnica del collage a partir de deixalles: ferros, grapes, paper, fils, entre altres materials, barrejats amb olis acrílics, pols de marbre, etc. Iconografia tràgica d'enfrontament i de contradicció.	Pl Ramon Calsina	Plaça de Ramon Calsina	Manuel	M
4133	1999.0	20/05/1999	Fernando Antonio Nogueira Pessoa (Lisboa, 1888 - 1935). Poeta. La seva obra és una de les més originals de la literatura portuguesa. Juntament amb Sá Carneiro, fou un dels introductors dels moviments d'avantguarda al seu país.	Jard Ca l'Aranyó	Jardins de Ca l'Aranyó	Fernando	M
4136	1999.0	27/05/1999	Magdalena Carmen Frida Kahlo Calderón (Coyoacán, 1907 - Ciutat de Mèxic, 1954). Pintora. Les seves obres reflecteixen temes folklòrics, populars i, sobretot, autobiogràfics. Sintetitzà elements expressionistes i surrealistes. El 1929 es casà amb el pintor Diego Rivera.	Jard Carlit	Jardins del Carlit	Magdalena	F
4138	1999.0	27/05/1999	Jaume Planas i Alemany (Barcelona, 1910 - 1993). Artesà de la fusta i de la paraula, treballava de dia amb el ribot, i amb el llapis de nit i a les festes. Fou voluntari en la defensa de la República al juliol de 1936. Primer soci entre els fundadors de l'Associació de Veïns del Carmel.	Jard Arboreda	Jardins de l'Arboreda	Jaume	M
4142	1999.0	16/06/1999	Mohandas Karamchand Gandhi (Porbandar, 1869 - Nova Delhi, 1948). Advocat, polític i pensador. Capdavanter del moviment a favor de la independència de l'Índia. Es coneix amb el títol honorífic de mahatma. Fou empresonat en diverses ocasions. El 1948 fou assassinat per un extremista hindú.	Jard Can Ferrero	Jardins de Can Ferrero	Mohandas	i
4144	1999.0	16/06/1999	Antoni Gilabert i Bonet (Cartagena, 1920 - Barcelona, 1985). Líder veïnal del barri del Verdum. Durant els anys quaranta emigrà a Barcelona. Milità al Moviment Catòlic Obrer i s'afilià al PSUC. El 1975 s'uní a l'Associació de Veïns del Verdum. Fou un personatge molt conegut i apreciat, i un gran defensor dels interessos del barri.	Jard J Domingo Sán	Jardins de Joaquim Domingo i Sánchez	Antoni	M
4145	1999.0	16/06/1999	Jaume Brossa i Roger (Barcelona, 1869 - 1919). Escriptor. Establí les bases ideològiques del moviment modernista i formà part del moviment literari català, d'arrel àcrata, que destruí la repressió de 1896. Escriví a Catalònia, L'Avenç i La Revista Blanca. Fou director d'Iberia i El Diluvio.	Jard J Goday Casal	Jardins de Josep Goday i Casals	Jaume	M
4149	2001.0	14/03/2001	Agustí Calvet i Pascual (Sant Feliu de Guíxols, 1887 - Barcelona, 1964). Periodista i escriptor conegut amb el pseudònim de Gaziel. Estudià dret i filosofia i lletres, i es doctorà a Madrid el 1911. De 1911 a 1914 fou secretari de la Secció Històrico-Arqueològica de l'Institut d'Estudis Catalans. Fou corresponsal de La Vanguardia a París durant la Primera Guerra Mundial. El 1920 formà part de la direcció d'aquest diari, i el 1933 en fou nomenat director. Durant la Guerra Civil residí a l'estranger i en tornar, el 1940, s'instal·là a Madrid, on dirigí una empresa editorial. Finalment, s'establí a Barcelona i es dedicà exclusivament a la literatura en llengua catalana.	Jard S Joan de Déu	Jardins de Sant Joan de Déu	Agustí	i
4150	2003.0	24/01/2003	Josep Maria Lladó i Figueres (Barcelona, 1910 - 1996). Periodista i advocat. Fou secretari de l'Associació de Periodistes de Barcelona. Col·laborà a La Publicitat, L'Opinió i La Humanitat, i dirigí Última Hora. Durant la Guerra Civil participà com a oficial de la columna anomenada Macià-Companys. Exiliat el 1939, publicà a Niça la revista Per Catalunya, el 1945, i escriví el Journal d'un expatrié catalan, el 1946. L'any 1950 tornà a Catalunya. Treballà com a redactor en els diaris Tele-exprés i Tele-estel. Escriví diversos llibres.	Pl St J Abadesses	Plaça de Sant Joan de les Abadesses	Josep	M
4160	2000.0	17/10/2000	Pere Terré i Domènech (Barcelona, 1910 - 1995). Treballador d'ENASA i alhora músic i compositor. Va participar molt activament en la vida associativa de Sant Andreu, on creà orquestres, revistes culturals, etc. De jubilat fou president del Casal d'Avis durant vint anys.	Pas Isadora Duncan	Pas d'Isadora Duncan	Pere	M
4164	1999.0	13/05/1999	Saturnino Calleja y Fernández (Burgos, 1855 - Madrid, 1915). Editor. El 1876, fundà a Madrid la seva editorial, que publicà un gran nombre de llibres, en especial de caire pedagògic i recreatiu.  Entre les obres publicades, destaquen els coneguts contes de Calleja i el seu original estudi Sobre el arte de enseñar a leer. Fou el fundador de l'Associació de la Llibreria d'Espanya.	Pl Can Galta Crema	Plaça de Can Galta Cremat	Saturnino	M
4165	2000.0	17/10/2000	Joan Llarch i Roig (Barcelona, 1920 - 1987). Escriptor. Publicà novel·les, biografies, contes, obres històriques, etc. Com a periodista va col·laborar a Tele-exprés, El Noticiero, Destino, La Vanguardia, entre d'altres.	Pl J Andreu Abelló	Plaça de Josep Andreu i Abelló	Joan	M
4168	2002.0	22/03/2002	Ovidi Montllor i Mengual (Alcoi, 1942 - Barcelona, 1995). Cantant i actor. Debutà el 1961 a Alcoi. A Barcelona, actuà amb grups de teatre independent (1974) i, més tard, amb les companyies d'Adrià Gual i Núria Espert. L'any 1968 inicià la carrera com a cantant. Posava música als texts de Salvador Espriu, Pere Quart i texts propis. Enregistrà diversos discs i a partir de 1974 intervingué en nombroses pel·lícules.	Jard Massana	Jardins de Massana	Ovidi	M
